['33 ', 'Colegio Mayor Fray Luis de León  ', 'De Lunes a Domingo ', ' ', '8:00 a 22:00 ', ' ', ' ', ' ', '0 ', '1 ', '2014-10-19 18:29:32 ', '2014-10-19 18:29:32 '],
['34 ', 'Residencia Universitaria Colegio de Cuenca  ', 'De Lunes a Domingo ', ' ', '9:00 a 19:00 ', ' ', ' ', ' ', '0 ', '1 ', '2014-10-19 18:35:38 ', '2014-10-19 18:35:38 '],
['35 ', 'R.U. Colegio Mayor Hernán Cortés  ', 'De Lunes a Domingo ', ' ', '9:00 a 19:00 ', ' ', ' ', ' ', '0 ', '1 ', '2014-10-19 18:52:17 ', '2014-10-19 18:52:17 '],
['36 ', 'Finca Los Galguillos  ', 'De Lunes a Domingo ', ' ', '09:00 a 22:00 ', ' ', ' ', ' ', '0 ', '1 ', '2014-10-19 19:05:34 ', '2014-10-19 19:05:34 '],
['37 ', ' ', 'De Lunes a Domingo ', ' ', '20:00 a 04:00 ', ' ', ' ', ' ', '0 ', '1 ', '2014-10-19 19:14:53 ', '2014-10-19 19:14:53 '],
['38 ', 'Museo De Art Nouveau Y Art Decó  ', 'Terraza de Lis ', ' ', 'Abierta en verano ', ' ', '21:00 a 0:00 ', ' ', '0 ', '1 ', '2014-10-19 19:18:03 ', '2014-10-19 19:18:03 '],
['39 ', 'La Tahona de la Abuela  ', 'De Lunes a Domingo ', ' ', ' ', ' ', '8:00 a 23:00 ', ' ', '0 ', '1 ', '2014-10-19 19:28:49 ', '2014-10-19 19:31:19 '],
[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' '],
['41 ', 'La Isla  ', 'De Jueves a Sábado ', ' ', '22:00 a 3:00 ', ' ', ' ', ' ', '10 ', '1 ', '2014-10-26 20:50:11 ', '2015-01-13 10:01:59 '],
['42 ', 'Copas Rotas Salamanca  ', 'De Lunes a Domingo ', ' ', '11:30 a 2:00 ', ' ', ' ', ' ', '11 ', '1 ', '2014-10-26 21:01:44 ', '2014-10-26 21:01:44 '],
['43 ', 'Letra Hispánica  ', 'De Lunes a Viernes ', ' ', '09:00 a 14:00 ', ' ', '16:00 a 19:00 ', ' ', '0 ', '1 ', '2014-10-27 11:36:13 ', '2014-10-27 11:36:13 '],
